"case","regime","k","preparation","classical","stress"
"paraboloid-disk-rep2-n240-r1","geodesic",16,0.811,0.0140000000000011,0.637
"paraboloid-disk-rep2-n240-r1","geodesic",239,6.221,0.0169999999999959,0.721000000000004
"paraboloid-disk-rep2-n240-r1","geodesic",32,1.245,0.0140000000000029,0.649000000000001
"paraboloid-disk-rep2-n240-r1","geodesic",4,0.625,0.0149999999999997,1.87
"paraboloid-disk-rep2-n240-r1","geodesic",64,2.144,0.0130000000000017,0.651
"paraboloid-disk-rep2-n240-r1","geodesic",8,0.61,0.0140000000000002,0.632
"paraboloid-disk-rep2-n240-r16","ambient",128,3.91399999999999,0.0130000000000052,1.398
"paraboloid-disk-rep2-n240-r16","ambient",16,0.806999999999988,0.0139999999999816,1.382
"paraboloid-disk-rep2-n240-r16","ambient",239,6.00199999999998,0.0099999999999909,1.507
"paraboloid-disk-rep2-n240-r16","ambient",32,1.21299999999999,0.0139999999999816,1.64400000000001
"paraboloid-disk-rep2-n240-r16","ambient",4,0.599999999999994,0.01400000000001,2.06999999999999
"paraboloid-disk-rep2-n240-r16","ambient",64,2.066,0.0159999999999911,1.393
"paraboloid-disk-rep2-n240-r16","ambient",8,0.615000000000009,0.01400000000001,2.12899999999999
"paraboloid-disk-rep2-n240-r16","geodesic",128,3.848,0.0150000000000006,1.408
"paraboloid-disk-rep2-n240-r16","geodesic",16,0.796000000000001,0.0129999999999999,1.339
"paraboloid-disk-rep2-n240-r16","geodesic",239,6.04400000000001,0.0150000000000006,1.47799999999999
"paraboloid-disk-rep2-n240-r16","geodesic",32,1.221,0.0130000000000017,1.284
"paraboloid-disk-rep2-n240-r16","geodesic",4,0.649,0.0139999999999998,2.675
"paraboloid-disk-rep2-n240-r16","geodesic",64,2.108,0.0139999999999993,1.288
"paraboloid-disk-rep2-n240-r16","geodesic",8,0.611,0.0140000000000002,2.265
"paraboloid-disk-rep2-n240-r2","ambient",128,3.98999999999998,0.0130000000000052,0.438000000000017
"paraboloid-disk-rep2-n240-r2","ambient",16,0.817000000000007,0.0139999999999816,0.417000000000002
"paraboloid-disk-rep2-n240-r2","ambient",239,6.12699999999998,0.0099999999999909,0.341000000000008
"paraboloid-disk-rep2-n240-r2","ambient",32,1.29400000000001,0.01400000000001,0.420999999999992
"paraboloid-disk-rep2-n240-r2","ambient",4,0.525000000000006,0.0139999999999816,0.51400000000001
"paraboloid-disk-rep2-n240-r2","ambient",64,2.23200000000003,0.0149999999999864,0.346000000000004
"paraboloid-disk-rep2-n240-r2","ambient",8,0.707999999999998,0.0229999999999961,0.603000000000009
"paraboloid-disk-rep2-n240-r2","geodesic",128,4.059,0.0140000000000029,0.341999999999999
"paraboloid-disk-rep2-n240-r2","geodesic",16,0.813000000000001,0.0129999999999999,0.428000000000001
"paraboloid-disk-rep2-n240-r2","geodesic",239,6.07899999999999,0.0160000000000053,0.35199999999999
