"case","surface","sampling","replicate","n","radius","regime","k","start","initialization","initial_raw_stress","raw_stress","normalized_stress","iterations","converged","termination","backend_stress","warnings","error","selected","initialization_description"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",64,2,"random",138551688.708606,19246.9898725492,5.76599276701547e-05,407,TRUE,"stress_tolerance",0.00759341343995972,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",64,3,"random",135656638.152535,18380.9876778518,5.50655675006375e-05,581,TRUE,"stress_tolerance",0.0074206177303944,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",8,1,"supplied",276990.046389453,109324.155306967,0.000289129558428102,176,TRUE,"stress_tolerance",0.0170038101150333,"","",FALSE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",8,2,"random",152929015.83663,118636.381870901,0.000313757601030881,1000,FALSE,"iteration_limit",0.0177132041435461,"Iteration limit reached! You may want to increase the itmax argument!","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",8,3,"random",149693659.130263,109279.25754408,0.000289010817329016,425,TRUE,"stress_tolerance",0.0170003181537588,"","",TRUE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",128,1,"supplied",61358.4515826067,35821.981105541,0.000106822100387817,29,TRUE,"stress_tolerance",0.010335477753245,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",128,2,"random",136553156.793687,35844.8067122091,0.000106890166953978,673,TRUE,"stress_tolerance",0.0103387700890379,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",128,3,"random",133648456.605341,35841.5348213846,0.000106880410088519,559,TRUE,"stress_tolerance",0.0103382982201387,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",16,1,"supplied",117350.905848424,59441.6596879813,0.000170957750531841,58,TRUE,"stress_tolerance",0.0130750812820359,"","",FALSE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",16,2,"random",141102673.468217,59415.5722675046,0.000170882721558133,695,TRUE,"stress_tolerance",0.0130722118081883,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",16,3,"random",138101602.761783,59415.0119287815,0.000170881109990621,664,TRUE,"stress_tolerance",0.0130721501670777,"","",TRUE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",239,1,"supplied",61191.7249844378,35799.8303729855,0.000106773110576756,29,TRUE,"stress_tolerance",0.0103331074985582,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",239,2,"random",136526717.394876,35822.0407997777,0.000106839353246934,672,TRUE,"stress_tolerance",0.0103363123621019,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",239,3,"random",133623008.367951,35822.3451502601,0.000106840260973238,557,TRUE,"stress_tolerance",0.0103363562715903,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",32,1,"supplied",82578.0720728247,43180.3875489125,0.000127152449983973,43,TRUE,"stress_tolerance",0.0112761895152564,"","",FALSE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",32,2,"random",138208749.551799,43175.5662651689,0.000127138252843213,727,TRUE,"stress_tolerance",0.0112755599791415,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",32,3,"random",135281357.331113,43173.7221362783,0.000127132822472625,617,TRUE,"stress_tolerance",0.0112753191738695,"","",TRUE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",4,1,"supplied",1498710.61847749,515968.238327373,0.00095568509800594,330,TRUE,"stress_tolerance",0.0309141569188931,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",4,2,"random",205767356.603867,522471.111211251,0.000967729829149655,450,TRUE,"stress_tolerance",0.0311083562592057,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",4,3,"random",201180208.143815,543392.059508816,0.00100647996343883,408,TRUE,"stress_tolerance",0.031725068375637,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",64,1,"supplied",62954.9130583082,36543.2400933804,0.000108762889872297,29,TRUE,"stress_tolerance",0.010428944811068,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",64,2,"random",136818581.995493,36563.7860203921,0.000108824040290026,686,TRUE,"stress_tolerance",0.0104318761634728,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",64,3,"random",133906512.196339,36564.6051094502,0.000108826478127853,568,TRUE,"stress_tolerance",0.0104319930084265,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",8,1,"supplied",313313.823400018,125270.470961359,0.00033400972661053,202,TRUE,"stress_tolerance",0.0182759329887843,"","",FALSE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",8,2,"random",150857882.804566,125276.103177843,0.000334024743837444,454,TRUE,"stress_tolerance",0.0182763438312332,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",8,3,"random",147684576.402869,125206.353723893,0.000333838770272675,441,TRUE,"stress_tolerance",0.0182712553009552,"","",TRUE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",128,1,"supplied",912.001878672964,824.057112391366,0.00383658415423107,20,TRUE,"stress_tolerance",0.0619401659202742,"","",FALSE,"classical"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",128,2,"random",61908.2347563581,824.056756304762,0.00383658249638939,81,TRUE,"stress_tolerance",0.0619401525376669,"","",TRUE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",128,3,"random",60534.3387472096,824.057147067194,0.00383658431567222,78,TRUE,"stress_tolerance",0.0619401672234764,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",16,1,"supplied",1492.63700029561,1392.59570743572,0.00537194817170574,22,TRUE,"stress_tolerance",0.0732935752416658,"","",TRUE,"classical"
