surface,sampling,regime,radius,method,min,median,max
paraboloid,disk,geodesic,2,stress_fixed_primary,0.994426381924008,0.99996925386647,1.00107690575457
paraboloid,disk,geodesic,2,stress_fixed_uniform,0.994426380981573,0.999967390325486,1.0008843014075
paraboloid,disk,geodesic,2,stress_primary,4.70371148855297e-08,1.09903032866944,1.37779391885482
paraboloid,disk,geodesic,2,stress_uniform,4.8299653188462305e-09,1.10902953397383,1.37737920919919
paraboloid,disk,geodesic,4,classical,1.04113147048323,1.20707272046809,1.34154818140167
paraboloid,disk,geodesic,4,classical_fixed_primary,0.997251356210725,0.999855635879087,1.00123464890529
paraboloid,disk,geodesic,4,classical_fixed_uniform,0.997251356363419,0.999855681746034,1.00132827578514
paraboloid,disk,geodesic,4,classical_primary,0.0003942116866113,1.03022691477878,1.54416985626844
paraboloid,disk,geodesic,4,classical_uniform,0.0002969900354595,1.02213288067449,1.55807099316099
paraboloid,disk,geodesic,4,full_classical,1.04113147048323,1.20128199799092,1.244783855453
paraboloid,disk,geodesic,4,full_classical_fixed_primary,0.997251356210725,0.999812926429475,1.00011006184434
paraboloid,disk,geodesic,4,full_classical_fixed_uniform,0.997251356363419,0.999812930641397,1.00008003655468
paraboloid,disk,geodesic,4,full_classical_primary,0.0003942116866113,1.02604907295725,1.29157208948233
paraboloid,disk,geodesic,4,full_classical_uniform,0.0002969900354595,1.01670244050489,1.29234205834837
paraboloid,disk,geodesic,4,original,0.922276759491913,0.977153628372667,0.996153099272501
paraboloid,disk,geodesic,4,stress,0.997251333285476,1.1275747891806,1.27016032391398
paraboloid,disk,geodesic,4,stress_fixed_primary,0.997251356943706,0.999855636050192,1.00105085172736
paraboloid,disk,geodesic,4,stress_fixed_uniform,0.997251358886201,0.999855667653149,1.00123587544114
paraboloid,disk,geodesic,4,stress_primary,0.0003777035105899,0.992449351633451,1.41779808086157
paraboloid,disk,geodesic,4,stress_uniform,9.83702519870857e-05,0.983608949037119,1.41878672949015
paraboloid,disk,geodesic,8,classical,1.01488279332524,1.17046117606461,1.27669295012593
paraboloid,disk,geodesic,8,classical_fixed_primary,0.997636037053897,0.999520260504224,1.00150992175341
paraboloid,disk,geodesic,8,classical_fixed_uniform,0.997636037363194,0.999520239384775,1.00157650451793
paraboloid,disk,geodesic,8,classical_primary,0.059391515461292,0.910301735315037,1.5077585254586
paraboloid,disk,geodesic,8,classical_uniform,0.0944922901431214,0.847325612961506,1.50762122395613
paraboloid,disk,geodesic,8,full_classical,1.01488279332524,1.17265453183383,1.23274364439834
paraboloid,disk,geodesic,8,full_classical_fixed_primary,0.997636037117759,0.999520249571672,1.00007511129873
paraboloid,disk,geodesic,8,full_classical_fixed_uniform,0.997636037318993,0.999520239011199,1.000055270527
paraboloid,disk,geodesic,8,full_classical_primary,0.0593780446232026,0.907700487551886,1.24961080361986
paraboloid,disk,geodesic,8,full_classical_uniform,0.0981727691944407,0.842509945041439,1.24857487453161
paraboloid,disk,geodesic,8,original,0.930484003142185,0.97341974657434,0.993615340727651
paraboloid,disk,geodesic,8,stress,0.999327628173877,1.10327291475656,1.23232037850996
