"case","surface","sampling","replicate","n","radius","regime","k","method","path_rel","edge_rel","raw_stress","raw_target_rmse","stress1","graph_reference","path_reference","chord_reference","procrustes","edge_scale","sigma1","sigma2","sigma3","sigma2_sigma1","sigma3_sigma2","sigma3_sigma1","max_edge_relative","package_score_difference","independent_path_difference"
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",16,"classical",0.00973305607254075,0.202887943187973,1866329.36356302,0.00465213212396444,0.00464577897674438,0.015354243700713,0.0309225070708116,0.0179861459335527,0.050175037184939,0.997519517721711,18922.8769443325,760.818080773502,690.306482806959,0.0402062584358437,0.907321342974845,0.0364799964000034,2.32734078623151,6.38378239159465e-16,6.93889390390723e-18
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",16,"stress",0.00592167253103586,0.0644129068784147,439862.293216057,0.00225848007299095,0.00225848007299096,0.015354243700713,0.0186668741879478,0.00767991835853271,0.0518050013594109,1.01111899883708,18924.6428027352,833.517253590086,688.724004493396,0.0440440151118528,0.826286440414948,0.036392972468355,1.50466691183886,1.38777878078145e-16,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",16,"classical_primary",0.00492165880667302,0.025249031835313,5444850.8480592,0.00794604261331286,0.00489446822926836,0.015354243700713,0.0225733295258903,0.00622431336477867,0.0451684935902236,1.00327608520311,18811.0622487557,763.960489821477,616.82829482318,0.0406122992800159,0.807408633092166,0.0327907210484076,1.16363988224439,8.32667268468867e-17,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",16,"classical_uniform",0.00488396926372125,0.0252451788045184,5074922.97106488,0.0076713645870362,0.00492823616776931,0.015354243700713,0.0225449724358191,0.00618418873063536,0.0450918352003853,1.00370036899722,18818.2722260249,764.876316280881,616.104213258959,0.0406454060762862,0.805495215559415,0.0327396801289181,1.15983016822287,1.73472347597681e-18,3.46944695195361e-18
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",16,"classical_fixed_primary",0.00492888884523033,0.0252459171076234,9862180.22850574,0.0106941030187954,0.00486580265615181,0.015354243700713,0.0225824242392196,0.0062791651550258,0.0448544464208571,0.999910323218212,18749.5635561166,757.325196872504,611.577973391328,0.0403916173624983,0.807550014071811,0.0326182511694687,1.16515476655562,1.04083408558608e-16,2.22044604925031e-16
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",16,"classical_fixed_uniform",0.00489945720003337,0.0252386270982527,10132824.8210521,0.0108398472723124,0.00489559344243322,0.015354243700713,0.0224769986827781,0.006176463721902,0.0447231439326252,0.999885676942977,18746.8046844716,757.04314353574,610.089452703855,0.0403825161822279,0.805884655205324,0.0325436501298381,1.16175496171752,2.34187669256869e-17,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",16,"stress_primary",0.00518107596045784,0.0252785974867458,4345224.78191283,0.00709845804634005,0.00480099661920126,0.015354243700713,0.0226171801476139,0.00604524607773853,0.0488685958739786,1.00490042228043,18827.352879562,820.682310414791,643.778495703201,0.0435898936863122,0.784443002527763,0.0341937870831567,1.17163493708698,6.93889390390723e-17,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",16,"stress_uniform",0.00511972004057089,0.0252653844584684,4198107.85977996,0.00697725655326785,0.00483852342809914,0.015354243700713,0.0225675398766426,0.006002759804021,0.0487547626002957,1.00514115136275,18831.1798549806,821.16370087249,643.084232795366,0.0436065985878895,0.78313767658274,0.034149970301796,1.16571633804107,7.19910242530375e-17,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",16,"stress_fixed_primary",0.00514812903693839,0.0252758460801096,10425358.6291773,0.0109952066908592,0.00477576148758765,0.015354243700713,0.0227075392988076,0.00617753460572402,0.0483048118424481,0.999941465189137,18739.3775769092,810.074167813786,634.418795031713,0.0432284457949108,0.783161369956866,0.0338548488298484,1.17270966446777,1.11022302462516e-16,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",16,"stress_fixed_uniform",0.00509490696025759,0.0252584436952952,10744554.8134535,0.0111622593490884,0.00481388316962897,0.015354243700713,0.0225771466224355,0.00607284767833041,0.0481449692590616,0.999904838678372,18736.2650800562,809.657850305915,633.13498256534,0.0432134070929511,0.781978439813955,0.0337919526575912,1.16697238582708,3.46944695195361e-17,6.93889390390723e-18
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",239,"original",0,5.78362917939656e-17,2.80584997152894e-22,5.78362917939656e-17,5.78362917939656e-17,0.0034021043265089,0.0034021043265089,0.0034021043265089,5.15532024253648e-16,1,18681.7940647537,529.968403091891,462.431972378149,0.0283681749865643,0.872565174980758,0.0247530815710362,2.22044604925031e-16,0,2.22044604925031e-16
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",239,"classical",5.8881689289632e-16,5.88791981395107e-16,7.42163442778452e-20,9.40628203677802e-16,5.88791981395108e-16,0.0034021043265089,0.00340210432650894,0.00340210432650894,4.20618155678805e-15,0.999999999999999,18681.7940647537,529.968403091889,462.431972378148,0.0283681749865642,0.87256517498076,0.0247530815710362,1.04027897407377e-12,1.23539247511799e-17,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",239,"stress",8.0195292953296e-15,8.01953059909887e-15,5.28396419535269e-18,7.93684959469617e-15,8.01953059909887e-15,0.0034021043265089,0.00340210432650902,0.00340210432650902,8.99962653024275e-15,1,18681.7940647537,529.96840309189,462.431972378148,0.0283681749865642,0.872565174980759,0.0247530815710362,4.16178203010986e-12,3.47237607599973e-17,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",239,"classical_primary",5.88872256537702e-16,5.88863479431807e-16,7.42189385561969e-20,9.40644643655308e-16,5.88863479431807e-16,0.0034021043265089,0.00340210432650894,0.00340210432650894,4.20628578202931e-15,0.999999999999999,18681.7940647537,529.968403091889,462.431972378148,0.0283681749865642,0.87256517498076,0.0247530815710362,1.04027897407377e-12,1.23611901469859e-17,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",239,"classical_uniform",5.88872256537702e-16,5.88863479431807e-16,7.42189385561969e-20,9.40644643655308e-16,5.88863479431807e-16,0.0034021043265089,0.00340210432650894,0.00340210432650894,4.20628578202931e-15,0.999999999999999,18681.7940647537,529.968403091889,462.431972378148,0.0283681749865642,0.87256517498076,0.0247530815710362,1.04027897407377e-12,1.23611901469859e-17,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",239,"classical_fixed_primary",5.88872256537702e-16,5.88863479431807e-16,7.42189385561969e-20,9.40644643655308e-16,5.88863479431807e-16,0.0034021043265089,0.00340210432650894,0.00340210432650894,4.20628578202931e-15,0.999999999999999,18681.7940647537,529.968403091889,462.431972378148,0.0283681749865642,0.87256517498076,0.0247530815710362,1.04027897407377e-12,1.23611901469859e-17,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",239,"classical_fixed_uniform",5.88872256537702e-16,5.88863479431807e-16,7.42189385561969e-20,9.40644643655308e-16,5.88863479431807e-16,0.0034021043265089,0.00340210432650894,0.00340210432650894,4.20628578202931e-15,0.999999999999999,18681.7940647537,529.968403091889,462.431972378148,0.0283681749865642,0.87256517498076,0.0247530815710362,1.04027897407377e-12,1.23611901469859e-17,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",239,"stress_primary",8.01894461149939e-15,8.01894476842453e-15,5.28319733937558e-18,7.93627364062353e-15,8.01894476842453e-15,0.0034021043265089,0.00340210432650902,0.00340210432650902,8.9994227986194e-15,1,18681.7940647537,529.96840309189,462.431972378148,0.0283681749865642,0.872565174980759,0.0247530815710362,4.16178203010986e-12,3.47969865632614e-17,0
