surface,sampling,regime,method,comparison,k240,k480,path_rel_n240,path_rel_n480,path_rel_difference,graph_reference_n240,graph_reference_n480,graph_reference_difference,path_reference_n240,path_reference_n480,path_reference_difference,procrustes_n240,procrustes_n480,procrustes_difference,sigma2_sigma1_n240,sigma2_sigma1_n480,sigma2_sigma1_difference,sigma3_sigma2_n240,sigma3_sigma2_n480,sigma3_sigma2_difference
paraboloid,surface_area,geodesic,classical,fixed k/n from k=64,64,128,0.0031729736613339,0.0033416742879858,0.0001687006266519,0.0002402490081477,9.88147497557036e-05,-0.0001414342583919964,0.0049385434383191,0.0049825304323717,4.398699405259998e-05,0.0193563600605225,0.019870936875591,0.0005145768150685015,0.0486195890517051,0.048282508627665,-0.00033708042404010513,0.875303774947591,0.957015569606922,0.08171179465933098
paraboloid,surface_area,geodesic,stress,fixed k/n from k=64,64,128,0.0022684504313912,0.0024530628795151,0.00018461244812389976,0.0002402490081477,9.88147497557036e-05,-0.0001414342583919964,0.0023117583343343,0.0024842935782682,0.00017253524393390013,0.0146715860513903,0.0150869364947906,0.0004153504434002992,0.0453417003654312,0.0449525736305545,-0.00038912673487669774,0.861996611246533,0.949410277183098,0.08741366593656497
paraboloid,surface_area,geodesic,stress_primary,fixed k/n from k=64,64,128,0.0022343224077903,0.0023972338223069,0.00016291141451659982,0.0002402490081477,9.88147497557036e-05,-0.0001414342583919964,0.0023306270201549,0.0025037612518241,0.00017313423166920002,0.0148138132665777,0.0147059034777928,-0.00010790978878490003,0.0453433276036206,0.0447104543585555,-0.0006328732450650992,0.857162784708873,0.944841695742179,0.08767891103330605
paraboloid,surface_area,geodesic,stress_fixed_primary,fixed k/n from k=64,64,128,0.0022467904394154,0.0024114240527888,0.00016463361337339978,0.0002402490081477,9.88147497557036e-05,-0.0001414342583919964,0.002421034088437,0.0026330214848547,0.00021198739641769973,0.0149713088817535,0.0148234434328148,-0.0001478654489386992,0.0454163423515529,0.0447856194231293,-0.0006307229284236021,0.858047981242687,0.944876971606225,0.08682899036353797
paraboloid,surface_area,geodesic,classical,complete graph,239,479,0.0026031460189018,0.0027895409913316,0.00018639497242979976,0.0,0.0,0.0,0.0026032307306345,0.0027897618922917,0.00018653116165719998,0.0192730246670994,0.0198776341149467,0.0006046094478472999,0.0482972124228055,0.04826943606353,-2.777635927549843e-05,0.887925412534097,0.958321454904559,0.07039604237046204
paraboloid,surface_area,geodesic,stress,complete graph,239,479,0.0019608759037895,0.0021454772215791,0.0001846013177895997,0.0,0.0,0.0,0.0019609473406366,0.0021456694563312,0.00018472211569460018,0.0147961946534213,0.0150963935874262,0.00030019893400489925,0.0452986719893146,0.0449479724311647,-0.0003506995581499042,0.868340738419314,0.950073484807802,0.08173274638848793
paraboloid,surface_area,geodesic,stress_primary,complete graph,239,479,0.001933337128347,0.0021258034147337,0.00019246628638670002,0.0,0.0,0.0,0.0019334091440685,0.002125995433304,0.00019258628923550015,0.0143221498768657,0.0144450136130841,0.0001228637362184013,0.0450844640594418,0.0445506650116663,-0.0005337990477755003,0.857023472188526,0.94542241725912,0.08839894507059398
paraboloid,surface_area,geodesic,stress_fixed_primary,complete graph,239,479,0.0019333402366281,0.0021258125808158,0.0001924723441877,0.0,0.0,0.0,0.0019334122522828,0.0021260045987046,0.0001925923464218002,0.0143222705049873,0.014445187473539,0.0001229169685516996,0.0450845803276459,0.0445508155403537,-0.0005337647872922027,0.857023001957307,0.945421811947179,0.08839880998987204
paraboloid,surface_area,ambient,classical,fixed k=8,8,8,0.0198751619888622,0.0267160927673731,0.0068409307785109,0.0941007436578114,0.0670231910518452,-0.0270775526059662,0.100407713383416,0.0340061560981179,-0.0664015572852981,0.0778579504350823,0.0817959043441802,0.003937953909097902,0.0634300335623968,0.0708208931435181,0.00739085958112129,0.652295986328832,0.625354344154791,-0.026941642174041047
paraboloid,surface_area,ambient,stress,fixed k=8,8,8,0.0138032152431696,0.0166470102251616,0.002843794981992002,0.0941007436578114,0.0670231910518452,-0.0270775526059662,0.0511380580233383,0.0305281670291974,-0.020609890994140897,0.0847447591270051,0.0861966799366381,0.001451920809632995,0.0708767203263313,0.0816494907194262,0.010772770393094905,0.730607556610021,0.586051712460489,-0.14455584414953193
paraboloid,surface_area,ambient,stress_primary,fixed k=8,8,8,0.0037023507564701,0.0039090767697903,0.00020672601332019994,0.0941007436578114,0.0670231910518452,-0.0270775526059662,0.0965048003266333,0.0703051287431909,-0.0261996715834424,0.0798930096163921,0.081974853381812,0.002081843765419894,0.0686540884952199,0.0783163021866076,0.0096622136913877,0.701835254563792,0.495143324474197,-0.20669193008959502
paraboloid,surface_area,ambient,stress_fixed_primary,fixed k=8,8,8,0.0032280887617757,0.0076275324143202,0.0043994436525445005,0.0941007436578114,0.0670231910518452,-0.0270775526059662,0.114671070553497,0.10194119314658,-0.012729877406917,0.0742775418463491,0.0789153531705894,0.004637811324240293,0.0645666608221034,0.074125253103528,0.009558592281424597,0.653521620267508,0.45271962406519,-0.20080199620231803
paraboloid,surface_area,ambient,classical,fixed k/n from k=8,8,16,0.0198751619888622,0.0162905161947717,-0.003584645794090499,0.0941007436578114,0.026268227890115,-0.0678325157676964,0.100407713383416,0.0246109658897265,-0.0757967474936895,0.0778579504350823,0.0635953952832535,-0.014262555151828796,0.0634300335623968,0.0587363935072814,-0.004693640055115404,0.652295986328832,0.739512245580653,0.08721625925182097
paraboloid,surface_area,ambient,stress,fixed k/n from k=8,8,16,0.0138032152431696,0.0091041017863493,-0.0046991134568203,0.0941007436578114,0.026268227890115,-0.0678325157676964,0.0511380580233383,0.0327814591016808,-0.018356598921657495,0.0847447591270051,0.0637299757115837,-0.0210147834154214,0.0708767203263313,0.0645540867996614,-0.006322633526669896,0.730607556610021,0.765454066732271,0.03484651012225004
