"case","surface","sampling","replicate","n","radius","regime","k","angular_gap_min","angular_gap_q05","angular_gap_median","angular_gap_q95","angular_gap_max","radial_gap_min","radial_gap_q05","radial_gap_median","radial_gap_q95","radial_gap_max"
"saddle-disk-rep1-n240-r4","saddle","disk",1,240,4,"geodesic",8,1.19982358592896e-05,0.0189298804662436,0.201919654988841,0.753254340542443,2.65087770360886,0.000315985049014589,0.00931038880846588,0.0931208356738774,0.343408470843065,0.659188074161394
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"ambient",128,1.19982358592896e-05,0.103863295888118,1.59339932658762,3.03744775458079,3.14142676971416,1.4803546867781e-05,0.0212563517358265,0.243959825705106,0.672940793922351,0.915927548686633
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"ambient",16,1.19982358592896e-05,0.0523977062872127,1.53560533353139,3.08057447311301,3.14052010131951,1.4803546867781e-05,0.00890582273216633,0.105301337844234,0.472965292908542,0.674784708801666
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"ambient",239,1.19982358592896e-05,0.159135816001698,1.57304693560022,2.98533756581357,3.14142676971416,1.4803546867781e-05,0.0204921833867578,0.230625219262326,0.648010211494774,0.915927548686633
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"ambient",32,1.19982358592896e-05,0.0589758195471425,1.64155286203433,3.07786160882897,3.14131951348828,1.4803546867781e-05,0.011309067216519,0.123254669964124,0.470079419328206,0.767794887511379
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"ambient",4,0.000130663399494413,0.0437577155680892,0.850886625658068,3.06033733550487,3.1381372934505,1.4803546867781e-05,0.00658591562057448,0.0982814547628386,0.442473723653024,0.659596409100757
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"ambient",64,1.19982358592896e-05,0.0701860610251859,1.62033501477389,3.0700683629385,3.14142676971416,1.4803546867781e-05,0.0156742183374834,0.169789127804013,0.512455915609758,0.910901021701933
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"ambient",8,1.19982358592896e-05,0.0460433796290096,1.27516816343934,3.0788475048427,3.13900523211067,1.4803546867781e-05,0.00744343312005644,0.0978993709080522,0.463940021370249,0.674784708801666
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"geodesic",128,1.19982358592896e-05,0.114890580224544,1.32627488952866,2.94885245089702,3.14142676971416,1.4803546867781e-05,0.0260083535875261,0.281914248265767,0.683627456961402,0.915927548686633
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"geodesic",16,1.19982358592896e-05,0.0311243983640414,0.40020279092529,1.56618429129266,3.13609251162862,9.3308442747353e-05,0.012093982987948,0.126672573936567,0.485808699118614,0.75330139926446
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"geodesic",239,1.19982358592896e-05,0.159135816001698,1.57304693560022,2.98533756581357,3.14142676971416,1.4803546867781e-05,0.0204921833867578,0.230625219262326,0.648010211494774,0.915927548686633
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"geodesic",32,1.19982358592896e-05,0.039343984824813,0.468947978028433,2.41031796311629,3.13795657293624,1.4803546867781e-05,0.0170984667414465,0.173616072937538,0.521309895356216,0.910901021701933
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"geodesic",4,1.19982358592896e-05,0.0230184354829468,0.343332803435454,1.31677229911575,3.13609251162862,9.3308442747353e-05,0.00947669927648109,0.105309705777689,0.469432898558055,0.674784708801666
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"geodesic",64,1.19982358592896e-05,0.0614043161135823,0.699935147569414,2.8538188355711,3.14142676971416,1.4803546867781e-05,0.0230645329569687,0.256146833431483,0.702783339694817,0.915927548686633
"saddle-disk-rep1-n240-r64","saddle","disk",1,240,64,"geodesic",8,1.19982358592896e-05,0.0253811257898609,0.370657096376991,1.39453719895343,3.13609251162862,9.3308442747353e-05,0.00893487314325846,0.105759163578838,0.483301248680858,0.674784708801666
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"ambient",128,1.19982358592896e-05,0.104171657052437,1.5550859775489,3.03708584388117,3.14142676971416,1.48035468677532e-05,0.0213185752096523,0.244168453902611,0.674356919827709,0.915927548686633
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"ambient",16,1.19982358592896e-05,0.0287460957528138,0.397800088398493,2.75741049076967,3.13942994470708,1.48035468677532e-05,0.00983205845832733,0.113164016496204,0.460816691809792,0.76206920340076
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"ambient",239,1.19982358592896e-05,0.159135816001698,1.57304693560022,2.98533756581357,3.14142676971416,1.48035468677532e-05,0.0204921833867578,0.230625219262326,0.648010211494774,0.915927548686633
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"ambient",32,1.19982358592896e-05,0.0471699925854882,0.790419643401578,3.02919931658232,3.14139308332409,1.48035468677532e-05,0.0121596288383108,0.130669651475854,0.505405939757818,0.909523827722312
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"ambient",4,1.19982358592896e-05,0.015576097030908,0.197011087589644,0.763468172484385,2.89980606959739,9.3308442747353e-05,0.0071386879664697,0.0853907579288062,0.349734313365841,0.659188074161394
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"ambient",64,1.19982358592896e-05,0.0666871030290764,1.28473990814058,3.06109486034381,3.14142676971416,1.48035468677532e-05,0.0162140376832263,0.174684293395521,0.522768313365572,0.910901021701933
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"ambient",8,1.19982358592896e-05,0.0195838492567633,0.273889710904629,1.09222680713782,3.1381372934505,9.3308442747353e-05,0.00859913725784403,0.0971960522376468,0.422847161779375,0.659188074161394
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"geodesic",128,1.19982358592896e-05,0.114647693796341,1.29782017540251,2.94473610933659,3.14142676971416,1.48035468677532e-05,0.0261902839802976,0.283284692826731,0.683954428783667,0.915927548686633
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"geodesic",16,1.19982358592896e-05,0.0267016158589944,0.340323552040429,1.30324026975685,3.13609251162863,9.3308442747353e-05,0.0121768971236624,0.125082210683294,0.478980817415087,0.76206920340076
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"geodesic",239,1.19982358592896e-05,0.159135816001698,1.57304693560022,2.98533756581357,3.14142676971416,1.48035468677532e-05,0.0204921833867578,0.230625219262326,0.648010211494774,0.915927548686633
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"geodesic",32,1.19982358592896e-05,0.0378911493412604,0.43256786802867,1.82281794620287,3.13795657293624,1.48035468677532e-05,0.0171530507951119,0.175533028580741,0.521277937698624,0.910901021701933
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"geodesic",4,1.19982358592896e-05,0.0155647769691245,0.195469605989714,0.747932884128082,2.65087770360886,9.3308442747353e-05,0.00732915472519469,0.0846311525107488,0.349154452712501,0.659188074161394
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"geodesic",64,1.19982358592896e-05,0.0599256401749416,0.657378325882801,2.77653957935124,3.14142676971416,1.48035468677532e-05,0.0236058510292811,0.255825424037679,0.69830363468117,0.915927548686633
"saddle-disk-rep1-n240-r8","saddle","disk",1,240,8,"geodesic",8,1.19982358592896e-05,0.0195786045491821,0.269099471619019,0.989119876939404,3.13609251162863,9.3308442747353e-05,0.0088101736947301,0.0980705750711162,0.422980553978928,0.75330139926446
"saddle-disk-rep1-n480-r64","saddle","disk",1,480,64,"ambient",128,1.19982358592896e-05,0.0658066406218288,1.5693108786684,3.07166148191337,3.14154991739108,6.30074107998979e-07,0.0147276555506419,0.165383165196254,0.487993343969149,0.934261698780355
"saddle-disk-rep1-n480-r64","saddle","disk",1,480,64,"ambient",16,1.19982358592896e-05,0.0426542911600507,1.20053749481172,3.07714084312398,3.14154991739108,1.30788366536905e-05,0.00663423222676258,0.0965968853079898,0.454056486152939,0.750908796889894
