"case","fit","edge_scale","profiled_uniform_energy","energy_after_halving","edge_relative_rmse","final_gradient","elapsed"
"paraboloid-surface_area-rep1-n240-r64","geodesic-k32-full_classical_uniform.rds",0.976944828073214,0.0330231034477025,0.00825577586192562,0.0277236429985882,0.0109500543339165,0.982999999999999
"paraboloid-surface_area-rep1-n240-r64","geodesic-k32-stress_primary.rds",0.967039822212051,0.0323709181144799,0.00809272952861998,0.0277296599242074,0.0113677146389613,0.945
"paraboloid-surface_area-rep1-n240-r64","geodesic-k32-stress_uniform.rds",0.978391143586578,0.0331367953902314,0.00828419884755785,0.0277302722616143,0.0106416047790659,0.996
"paraboloid-surface_area-rep1-n240-r64","geodesic-k4-classical_primary.rds",1.14129211112425,1.84375679890317e-05,4.60939199725792e-06,0.0051545842227399,0.000369665054390808,0.112
"paraboloid-surface_area-rep1-n240-r64","geodesic-k4-classical_uniform.rds",1.14430586833402,1.48916611576388e-05,3.72291528940969e-06,0.00462027776785326,0.000322584255763109,0.0970000000000004
"paraboloid-surface_area-rep1-n240-r64","geodesic-k4-full_classical_primary.rds",1.07284946986078,8.2429725895625e-06,2.06074314739063e-06,0.00366641629959964,0.000103608153564511,0.109999999999999
"paraboloid-surface_area-rep1-n240-r64","geodesic-k4-full_classical_uniform.rds",1.07230828178244,8.02649076942524e-06,2.00662269235631e-06,0.00361977714121387,0.000125909052916291,0.0979999999999999
"paraboloid-surface_area-rep1-n240-r64","geodesic-k4-stress_primary.rds",1.21807825216285,1.42419351253939e-05,3.56048378134847e-06,0.00424470927582199,0.000281818603506499,0.109
"paraboloid-surface_area-rep1-n240-r64","geodesic-k4-stress_uniform.rds",1.21238626196993,1.27243930929393e-05,3.18109827323481e-06,0.00403103129775693,0.000272182271725864,0.103
"paraboloid-surface_area-rep1-n240-r8","ambient-k239-classical_primary.rds",0.999999999999999,3.26959009273172e-27,8.1739752318293e-28,4.94802210681186e-16,9.72214543651196e-13,0.0189999999999912
