"replicate","k","method","alignment","sample_size","seed","subdivisions","coordinate_relative_rmse","coordinate_rmse","alignment_scale","surface_rms","surface_mc_se","surface_forward_rms","surface_reverse_rms","area","reference_area","zero_area_faces"
2,70,"Stress MDS + edge-KK","rigid",8000,1903,2,0.233731399493839,0.215636057637545,1,0.163829139681525,0.00077433362485618,0.175904036840226,0.150790397044672,7.69186338157627,6.46563463579793,0
2,70,"Stress MDS + edge-KK","similarity",8000,1903,2,0.223241615027587,0.205958385862728,0.933682423898033,0.153847305553291,0.000709082342652749,0.159870652393229,0.147578322782782,6.70548088714142,6.46563463579793,0
2,70,"stress_mds","rigid",8000,1903,2,0.236294950754809,0.21800114032932,1,0.204269319519094,0.00093026064598566,0.20656683628671,0.201945665811592,6.78719978116754,6.46563463579793,0
2,70,"stress_mds","similarity",8000,1903,2,0.22101790789759,0.203906836777361,0.921061272145134,0.188045239793873,0.000857631871886573,0.178563996241288,0.197070859501378,5.7579471807646,6.46563463579793,0
2,70,"classical_kk","rigid",8000,1903,2,0.316463882178877,0.291963442162697,1,0.226161986903702,0.00103808447392632,0.236178134000267,0.215681194499225,7.30961653619756,6.46563463579793,0
2,70,"classical_kk","similarity",8000,1903,2,0.309142630708622,0.285208997499131,0.933564538034417,0.214744059296826,0.000965936156550462,0.215768001222247,0.213715211566968,6.37064327310166,6.46563463579793,0
2,70,"stress_kk","rigid",8000,1903,2,0.233137101010321,0.215087769378786,1,0.158383641440985,0.000716786570219069,0.167490801677315,0.148719827547316,7.62373222890824,6.46563463579793,0
2,70,"stress_kk","similarity",8000,1903,2,0.222955875956833,0.205694768535899,0.934663796143011,0.149491579479194,0.00066375754716535,0.153007648064031,0.145890795817564,6.66006511985431,6.46563463579793,0
2,75,"Original saddle","rigid",8000,1903,2,1.79901827649064e-16,1.65973938290032e-16,1,0.0213792956223838,0.000652128898784904,0.0300594703461643,0.00325220004406674,6.88225690077133,6.46563463579793,0
2,75,"Original saddle","similarity",8000,1903,2,1.5271853765718e-15,1.40895161967459e-15,0.999999999999998,0.0213792956223837,0.000652128898784901,0.0300594703461642,0.00325220004406694,6.8822569007713,6.46563463579793,0
2,75,"Classical MDS","rigid",8000,1903,2,0.299789770557501,0.276580230055003,1,0.253822132276216,0.00114026532377124,0.245588426004006,0.261797010447722,6.34777957284604,6.46563463579793,0
2,75,"Classical MDS","similarity",8000,1903,2,0.287797701550427,0.265516579688801,0.919412408592493,0.238032765650444,0.00107835282827957,0.215153890337266,0.258897660319939,5.36589980476441,6.46563463579793,0
2,75,"Stress MDS","rigid",8000,1903,2,0.212325383866853,0.19588728263544,1,0.188507377551972,0.0008858481519625,0.191499253410618,0.185467244348482,6.80275751090633,6.46563463579793,0
2,75,"Stress MDS","similarity",8000,1903,2,0.197408639060833,0.182125383080133,0.926142055699011,0.173138051586026,0.000816990747292571,0.165853689385035,0.180128075355795,5.83499115481713,6.46563463579793,0
2,75,"Classical MDS + edge-KK","rigid",8000,1903,2,0.308784785055182,0.284878856037104,1,0.224962534705722,0.00111051185559596,0.238186282894727,0.210911305252325,7.39038485351086,6.46563463579793,0
2,75,"Classical MDS + edge-KK","similarity",8000,1903,2,0.301086429210029,0.277776502188479,0.932962553820976,0.212568519286093,0.00102796941698373,0.216533026121071,0.208528653622987,6.43273233114652,6.46563463579793,0
2,75,"Stress MDS + edge-KK","rigid",8000,1903,2,0.171067520844606,0.157823578109931,1,0.11494062796038,0.000474969107031096,0.122566446899419,0.106771541181651,7.66138653808275,6.46563463579793,0
2,75,"Stress MDS + edge-KK","similarity",8000,1903,2,0.161232569605909,0.148750042775086,0.945246006123415,0.107696756874465,0.000432548389244051,0.112089847319733,0.103116676684203,6.84537235055509,6.46563463579793,0
2,80,"Original saddle","rigid",8000,1903,2,1.79901827649064e-16,1.65973938290032e-16,1,0.0213792956223838,0.000652128898784904,0.0300594703461643,0.00325220004406674,6.88225690077133,6.46563463579793,0
2,80,"Original saddle","similarity",8000,1903,2,1.5271853765718e-15,1.40895161967459e-15,0.999999999999998,0.0213792956223837,0.000652128898784901,0.0300594703461642,0.00325220004406694,6.8822569007713,6.46563463579793,0
2,80,"Classical MDS","rigid",8000,1903,2,0.29011334989994,0.267652951960756,1,0.247544638539268,0.00111985826332065,0.240317146173337,0.254567015526711,6.35279447445848,6.46563463579793,0
2,80,"Classical MDS","similarity",8000,1903,2,0.278614714064502,0.257044533472127,0.922337417461235,0.232194713199174,0.0010580118453143,0.211088151985379,0.251536402468292,5.40436235603111,6.46563463579793,0
2,80,"Stress MDS","rigid",8000,1903,2,0.209706977859625,0.193471592018279,1,0.186520371391262,0.000881219412408888,0.189403883618131,0.183591575945733,6.8041086695954,6.46563463579793,0
2,80,"Stress MDS","similarity",8000,1903,2,0.194936793832507,0.179844906596098,0.926937835153022,0.171358037327315,0.000813037247297699,0.164164676759737,0.178261360977948,5.84618372703108,6.46563463579793,0
2,80,"Classical MDS + edge-KK","rigid",8000,1903,2,0.294290216070538,0.271506447709543,1,0.214785362085368,0.00108813799678395,0.227204506541058,0.201602618385079,7.35229228779544,6.46563463579793,0
