"start","initialization","initial_raw_stress","raw_stress","normalized_stress","iterations","converged","termination","backend_stress","warnings","error","replicate","k","selected","elapsed"
1,"classical",1172.51996913388,789.009940498871,0.000816085962000193,86,TRUE,"stress_tolerance",0.0285672183105079,"","",4,67,FALSE,2.69399999999996
2,"random",284536.147511039,776.955394094507,0.000803617746336571,321,TRUE,"stress_tolerance",0.0283481524325059,"","",4,67,TRUE,7.16700000000003
3,"random",282013.013699317,788.57330119118,0.000815634338780795,317,TRUE,"stress_tolerance",0.0285593126454543,"","",4,67,FALSE,7.13
4,"random",289019.455945606,809.881302103531,0.000837673554676938,391,TRUE,"stress_tolerance",0.0289425906697553,"","",4,67,FALSE,8.59500000000003
5,"random",281425.882779883,808.828833210104,0.000836584968785581,302,TRUE,"stress_tolerance",0.028923778604906,"","",4,67,FALSE,6.83699999999999
6,"random",285436.222149353,780.715925366129,0.000807507325697882,261,TRUE,"stress_tolerance",0.0284166733749375,"","",4,67,FALSE,5.85000000000002
1,"classical",1156.73812370678,779.002464455136,0.000806362936307371,456,TRUE,"stress_tolerance",0.0283965303568482,"","",4,72,FALSE,15.129
2,"random",284321.963116612,771.469073931278,0.000798564954682991,320,TRUE,"stress_tolerance",0.0282588916039357,"","",4,72,TRUE,8.857
3,"random",281804.451093688,780.098491609857,0.000807497458616453,705,TRUE,"stress_tolerance",0.0284164997601127,"","",4,72,FALSE,18.82
4,"random",288802.35114362,813.142408280668,0.000841701958460247,393,TRUE,"stress_tolerance",0.0290121002076761,"","",4,72,FALSE,10.861
5,"random",281219.624926249,811.090351315623,0.000839577828235625,307,TRUE,"stress_tolerance",0.02897546942218,"","",4,72,FALSE,8.638
6,"random",285219.39462679,775.473167943257,0.000802709682269967,266,TRUE,"stress_tolerance",0.0283321316224179,"","",4,72,FALSE,7.66500000000001
1,"classical",1143.40768916345,772.979720054797,0.000800686855218604,435,TRUE,"stress_tolerance",0.0282964106419628,"","",4,77,FALSE,10.374
2,"random",284131.967904944,767.056518876013,0.000794551339367901,319,TRUE,"stress_tolerance",0.0281877870604961,"","",4,77,TRUE,7.46800000000002
3,"random",281616.03984494,773.541731281191,0.000801269011502635,898,TRUE,"stress_tolerance",0.0283066955242506,"","",4,77,FALSE,19.652
4,"random",288608.485398425,816.466188747262,0.000845732078215481,393,TRUE,"stress_tolerance",0.0290814731094474,"","",4,77,FALSE,8.93600000000004
5,"random",281032.353778016,813.158366940138,0.000842305688917478,315,TRUE,"stress_tolerance",0.0290225031469971,"","",4,77,FALSE,7.18399999999997
6,"random",285023.637374344,771.091140782232,0.000798730580610942,270,TRUE,"stress_tolerance",0.0282618219619849,"","",4,77,FALSE,6.423
1,"classical",1135.75202301074,769.733271556857,0.000797619021324058,390,TRUE,"stress_tolerance",0.0282421497291561,"","",4,80,FALSE,9.18699999999995
2,"random",284028.823946806,764.16447163412,0.000791848475982632,318,TRUE,"stress_tolerance",0.0281398023444127,"","",4,80,TRUE,7.125
3,"random",281514.057846869,770.13445160758,0.000798034735248942,909,TRUE,"stress_tolerance",0.028249508584202,"","",4,80,FALSE,19.215
4,"random",288502.456476198,818.184542922175,0.000847825576083146,394,TRUE,"stress_tolerance",0.0291174445321542,"","",4,80,FALSE,8.72400000000005
5,"random",280928.02442169,813.681550870435,0.000843159450496455,327,TRUE,"stress_tolerance",0.0290372080354922,"","",4,80,FALSE,7.22399999999993
6,"random",284921.333839978,768.124064714356,0.000795951516443793,271,TRUE,"stress_tolerance",0.0282126127192032,"","",4,80,FALSE,6.03300000000002
1,"classical",1213.68944317008,789.306951588781,0.000795322921432048,57,TRUE,"stress_tolerance",0.0282014701998328,"","",5,32,TRUE,2.35000000000002
2,"random",289174.609787299,803.452327724715,0.000809576111335596,343,TRUE,"stress_tolerance",0.0284530510022309,"","",5,32,FALSE,7.60000000000002
3,"random",295433.480359,789.587744241325,0.000795605854240745,214,TRUE,"stress_tolerance",0.0282064860314205,"","",5,32,FALSE,4.95099999999999
4,"random",292280.474316618,789.726613137185,0.000795745781572855,291,TRUE,"stress_tolerance",0.0282089663329379,"","",5,32,FALSE,6.49000000000001
5,"random",292906.340777122,812.483230745324,0.000818675846437464,209,TRUE,"stress_tolerance",0.0286125120609404,"","",5,32,FALSE,4.81699999999998
6,"random",292462.865213686,794.777769254866,0.000800835436784984,308,TRUE,"stress_tolerance",0.028299035969181,"","",5,32,FALSE,6.779
1,"classical",1193.3606964307,793.974746571541,0.000809417283129824,86,TRUE,"stress_tolerance",0.0284502598077736,"","",5,68,FALSE,2.815
2,"random",285969.854415405,776.103038675208,0.00079119797664331,318,TRUE,"stress_tolerance",0.0281282416201819,"","",5,68,FALSE,7.11900000000003
3,"random",292156.839607154,800.689367019488,0.000816262500642968,239,TRUE,"stress_tolerance",0.028570308024993,"","",5,68,FALSE,5.49900000000002
