"replicate","k","edges","bridges","components_before","graph_seconds","xg_error","xg_profiled_error","fitted_scale","mean_pair_relative_bias","fraction_shorter","coarse_error","sources32_error","sources64_error","fine16_error","fine128_error","medium16_error"
1,29,16209,0,1,0.356,0.00909180921310033,0.00524819436181522,1.0073965188539,0.00775920307122729,0.0680117584179583,0.00902410632033569,0.00923667992832459,0.00922840251341404,0.00920628592336894,NA,0.00918806241570411
1,30,16771,0,1,0.362,0.00863297723035694,0.00506685284223237,1.00696394159734,0.00728557895862009,0.0747344334580438,0.00856575753262253,0.0088380120888384,0.00873333601290133,0.00878080120531091,NA,0.00876268598771607
1,31,17304,0,1,0.372,0.0081472266330698,0.0048646745348388,1.00651176148055,0.00678881461057724,0.0824592463923036,0.00808052855912473,0.00816842070181598,0.00822303028174371,0.00808203613750457,NA,0.00806410131297435
1,32,17865,0,1,0.393,0.00775999749795819,0.00471780268538814,1.0061388749931,0.00637968869331352,0.0899251737039017,0.00769385692138825,0.0077677554460022,0.0077918470252047,0.00774809325433409,NA,0.00773025264122071
1,33,18417,0,1,0.382,0.00741507487185967,0.00455949297858351,1.00582678192975,0.00601268995875139,0.0966729021913415,0.0073491731695646,0.00749103017972194,0.00748754873380936,0.0074615727775485,NA,0.00744384091213568
1,34,18981,0,1,0.397,0.00707487731824069,0.00441944486225145,1.00550515725134,0.00566138099071687,0.104673303046499,0.0070094304177509,0.00719683769562706,0.00716836650608333,0.00716488714755248,NA,0.00714726081068453
1,35,19516,0,1,0.404,0.00683451003007232,0.00434170676045327,1.00525940153438,0.00540401887717695,0.110502405130946,0.0067697353408167,0.00696205920218018,0.00695527310405434,0.006887253649438,NA,0.00686976756414384
1,36,20072,0,1,0.408,0.00645087784229163,0.00414757285941414,1.00492358130389,0.00504470486957432,0.120281600748263,0.00638639566950538,0.0066647407276613,0.00655769510441111,0.0065764478356569,NA,0.0065590221345843
1,37,20640,0,1,0.433,0.00608652889378966,0.00400708597253376,1.00456532069084,0.00467036112737355,0.132925240513095,0.00602321544935751,0.00630799906044863,0.00620947943878865,0.00626166160487176,NA,0.00624460489403614
1,38,21187,0,1,0.414,0.00585367637157681,0.00392715356033794,1.00432542315286,0.00441975590788425,0.143806787814003,0.00579132074266254,0.00607347935975928,0.00599811833806053,0.00602295827398807,NA,0.0060061483370052
1,39,21738,0,1,0.427,0.00562524153657636,0.00384434350641805,1.00409184205746,0.00417613461240504,0.157719802244789,0.00556382048150221,0.00590497303352227,0.00574842328340111,0.00585836956007421,NA,0.00584176585520409
1,40,22279,0,1,0.436,0.00529998378616274,0.00365735583563095,1.00382244959251,0.00388879154615396,0.169069013896312,0.00523932261682145,0.0054987251578861,0.00536404065388654,0.00552975416913542,NA,0.00551327410595034
